dataset	tf	intra_group_weight	inter_group_weight	overlapping_group_weight	final_k
GSE52924	gata1	0.8072091466696673	27.88998469659092	0.9910146796742931	10
GSE52924	gfi1b	2.278826756922987	17.018037058363767	1.0016658224587196	10
GSE52924	tal1	1.4236347381721057	19.541606225295983	1.0021610591729824	10
GSE54344	mllt3	817.5194871117342	17.56927081412675	0.9869107620866037	10
GSE63010	notch1	-4789.427824612941	1.060644872214152	0.9643817025271371	-4898.945312567949
GSE64862	runx1	0.9643515290484347	22.590475529442422	0.9906699818869472	10
GSE85488	myc	0.9640738767927072	17.259659591864246	0.9898664565998806	10
